"""","輸入_平成21年(2009)","輸入_平成22年(2010)","輸入_平成23年(2011)","輸入_平成24年(2012)","輸入_平成25年(2013)","輸入_平成26年(2014)"
" 総　額:百万円","427017.0","517336.0","621971.11","703961.0","640704.357","639506.797"
"","","","","","",""
"食料品:百万円","975.0","977.0","1276.0","1008.0","1090.252","972.446"
"　穀物及び同調製品:百万円","28.0","23.0","23.0","21.0","32.154","24.481"
"　果実及び野菜:百万円","726.0","655.0","938.0","790.0","926.57","879.406"
"","","","","","",""
"原料品:百万円","46663.0","64163.0","84093.0","68775.0","30301.601","27916.127"
"　木材:百万円","907.0","1151.0","1125.0","1009.0","960.587","919.436"
"　　丸太:百万円","845.0","1104.0","1072.0","964.0","915.834","892.721"
"　織物用繊維及びくず:百万円","0.0","0.0","0.0","0.0","0.0","0.0"
"　金属鉱及びくず:百万円","41638.0","56639.0","75079.0","61723.0","21466.172","17102.918"
"　金属鉱及びくず(数量):千ﾄﾝ","5563.423","5976.0","5905.0","5413.0","1819.959","1545.334"
"　　鉄鉱石:百万円","41638.0","56182.0","75012.0","61463.0","21119.787","16814.815"
"　　鉄鉱石(数量):千ﾄﾝ","5563.423","5958.0","5904.0","5400.0","1808.648","1534.058"
"","","","","","",""
"鉱物性燃料:百万円","347947.0","408684.0","489965.0","584046.0","564685.76","558233.94"
"　石炭:百万円","45934.0","45837.0","58998.0","45880.0","13838.722","11288.876"
"　石炭(数量):千ﾄﾝ","2545.118","3167.0","3082.0","2761.0","1030.243","957.778"
"　原油及び粗油:百万円","272232.0","339923.0","409605.0","511784.0","529564.264","511453.088"
"　原油及び粗油(数量):千kｌ","7791.549","7662.0","7468.0","8732.0","7771.077","7252.973"
"　石油製品:百万円","29755.0","22835.0","21264.0","26276.0","21176.716","35411.931"
"　天然ガス及び製造ガス:百万円","0.0","33.0","44.0","63.0","56.204","55.071"
"　天然ガス及び製造ガス(数量):ﾄﾝ","0.0","146.0","195.0","281.0","243.0","217.0"
"","","","","","",""
"化学製品:百万円","7567.0","15258.0","18236.0","19803.0","24501.528","26336.141"
"　有機化合物:百万円","4180.0","10276.0","14364.0","15867.0","20719.4","22252.073"
"","","","","","",""
"原料別製品:百万円","13588.0","13713.0","13933.0","13640.0","12004.247","14096.743"
"　織物用糸及び繊維製品:百万円","1048.0","797.0","96.0","606.0","114.774","100.775"
"　鉄鋼:百万円","5488.0","7230.0","6332.0","5449.0","5074.286","7133.467"
"　鉄鋼(数量):千ﾄﾝ","28.239","58.0","43.0","40.0","32.986","40.913"
"","","","","","",""
"機械類及び輸送用機器:百万円","3854.0","7294.0","2916.0","8679.0","1482.91","2146.775"
"","","","","","",""
"その他:百万円","6424.0","7247.0","11553.0","8010.0","6638.059","9804.625"
"　衣類及び同付属品:百万円","12.0","10.0","2.0","2.0","0.0","0.0"
"　科学光学機器:百万円","34.0","26.0","42.0","7.0","11.106","0.0"
